
Length: 2	 Moves: 155.7 	 Prepare time: 0.19407377243041993 	 Turn time: 1.7649144469320523e-06 	
Length: 3	 Moves: 142.5 	 Prepare time: 0.2560834169387817 	 Turn time: 1.856132751500819e-06 	
Length: 4	 Moves: 203.1 	 Prepare time: 0.3247339963912964 	 Turn time: 1.7111564762619419e-06 	
Length: 5	 Moves: 211.9 	 Prepare time: 0.4581385850906372 	 Turn time: 1.7769210128334523e-06 	
Length: 6	 Moves: 281.8 	 Prepare time: 0.5290921688079834 	 Turn time: 1.6733144342176555e-06 	
Length: 7	 Moves: 260.8 	 Prepare time: 0.6728837251663208 	 Turn time: 1.6498649325775328e-06 	
Length: 8	 Moves: 275.6 	 Prepare time: 0.8183835506439209 	 Turn time: 1.684343385372005e-06 	
Length: 9	 Moves: 329.0 	 Prepare time: 0.9829798936843872 	 Turn time: 1.773208001598551e-06 	
Length: 10	 Moves: 358.7 	 Prepare time: 1.1489686965942383 	 Turn time: 1.6717066840766712e-06 	
Length: 11	 Moves: 430.4 	 Prepare time: 1.2787277460098267 	 Turn time: 1.7207861194185463e-06 	
Length: 12	 Moves: 440.5 	 Prepare time: 1.527403998374939 	 Turn time: 1.677500045366621e-06 	
Length: 13	 Moves: 380.3 	 Prepare time: 1.8046425104141235 	 Turn time: 1.6997155908655699e-06 	
Length: 14	 Moves: 459.5 	 Prepare time: 1.9508443832397462 	 Turn time: 1.6011457535100494e-06 	
Length: 15	 Moves: 521.2 	 Prepare time: 2.4234112739562987 	 Turn time: 1.6701869389737567e-06 	
Length: 16	 Moves: 481.9 	 Prepare time: 2.685638189315796 	 Turn time: 1.6435546552941245e-06 	
Length: 17	 Moves: 448.0 	 Prepare time: 2.999941897392273 	 Turn time: 1.677868344757009e-06 	
Length: 18	 Moves: 548.7 	 Prepare time: 3.180015277862549 	 Turn time: 1.6805628605003644e-06 	
Length: 19	 Moves: 694.4 	 Prepare time: 3.585796332359314 	 Turn time: 1.662429347927234e-06 	
Length: 20	 Moves: 594.9 	 Prepare time: 4.200229930877685 	 Turn time: 1.7177087135382418e-06 	
Length: 21	 Moves: 623.1 	 Prepare time: 4.861526560783386 	 Turn time: 1.7945476320875901e-06 	
Length: 22	 Moves: 790.3 	 Prepare time: 4.723114490509033 	 Turn time: 1.6752018331982693e-06 	
Length: 23	 Moves: 853.5 	 Prepare time: 4.984153461456299 	 Turn time: 1.705024194892736e-06 	
Length: 24	 Moves: 876.1 	 Prepare time: 5.425112891197204 	 Turn time: 1.652452132626706e-06 	
Length: 25	 Moves: 770.1 	 Prepare time: 6.084482669830322 	 Turn time: 1.643412529200208e-06 	
